GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ecommerce,com.hcl.ecommerce.dto,ProductResponsedto,6,11,0,0,2,2,2,3,2,3
ecommerce,com.hcl.ecommerce.dto,StoreProductDetailsResponsedto,12,19,0,0,4,2,4,5,4,5
ecommerce,com.hcl.ecommerce.dto,ProductStoreResponsedto,6,11,0,0,2,2,2,3,2,3
ecommerce,com.hcl.ecommerce.dto,ProductRequestdto,0,24,0,0,0,5,0,7,0,7
ecommerce,com.hcl.ecommerce.dto,LoginResponsedto,6,11,0,0,2,2,2,3,2,3
ecommerce,com.hcl.ecommerce.dto,ProductDetailsResponsedto,12,19,0,0,4,2,4,5,4,5
ecommerce,com.hcl.ecommerce.dto,StoreResponsedto,6,11,0,0,2,2,2,3,2,3
ecommerce,com.hcl.ecommerce.dto,StoreRequestdto,0,17,0,0,0,4,0,5,0,5
ecommerce,com.hcl.ecommerce.dto,ProductStoreRequestdto,3,21,0,0,1,4,1,6,1,6
ecommerce,com.hcl.ecommerce.dto,LoginRequestdto,9,17,0,0,1,4,1,5,1,5
ecommerce,com.hcl.ecommerce.dto,ProductResponse,6,11,0,0,2,2,2,3,2,3
ecommerce,com.hcl.ecommerce.entity,User,19,19,0,0,5,2,6,5,6,5
ecommerce,com.hcl.ecommerce.entity,Store,0,24,0,0,0,5,0,7,0,7
ecommerce,com.hcl.ecommerce.entity,Product,3,28,0,0,1,5,1,8,1,8
ecommerce,com.hcl.ecommerce.entity,UserStoreRating,17,14,0,0,3,3,5,4,5,4
ecommerce,com.hcl.ecommerce.entity,ProductStore,6,25,0,0,2,4,2,7,2,7
ecommerce,com.hcl.ecommerce,EcommerceApplication,8,0,0,0,3,0,2,0,2,0
ecommerce,com.hcl.ecommerce.controller,ProductController,0,72,0,4,0,15,0,7,0,5
ecommerce,com.hcl.ecommerce.controller,LoginController,0,41,0,2,0,9,0,4,0,3
ecommerce,com.hcl.ecommerce.controller,StoreController,0,41,0,2,0,9,0,4,0,3
ecommerce,com.hcl.ecommerce.controller,ProductStoreController,0,34,0,2,0,8,0,3,0,2
ecommerce,com.hcl.ecommerce.service,ProductPurchaseDetailsImplementation,0,185,1,9,0,41,1,8,0,4
ecommerce,com.hcl.ecommerce.service,ProductStoreServiceImplementation,0,78,0,6,0,17,0,5,0,2
ecommerce,com.hcl.ecommerce.service,StoreServiceImplementation,0,53,0,2,0,14,0,4,0,3
ecommerce,com.hcl.ecommerce.service,ProductServiceImplementation,0,94,0,4,0,24,0,6,0,4
ecommerce,com.hcl.ecommerce.service,LoginServiceImplementation,0,36,0,2,0,9,0,4,0,3
ecommerce,com.hcl.ecommerce.configuration,SwaggerConfig,15,0,0,0,3,0,2,0,2,0
ecommerce,com.hcl.ecommerce.exception,ProductException,0,4,0,0,0,2,0,1,0,1
ecommerce,com.hcl.ecommerce.exception,StoreException,0,4,0,0,0,2,0,1,0,1
ecommerce,com.hcl.ecommerce.exception,UserException,0,4,0,0,0,2,0,1,0,1
